Code,GMPE,Year,TectonicRegion,RequiresDistances,RequiresRupture,RequiresSites,DefinedForIMTs,DefinedForStdDevs,Shortcut,Description
NZNSHM2022_ParkerEtAl2020SSlabSAN,NZNSHM2022_ParkerEtAl2020SSlabSAN,2022,Subduction IntraSlab,rrup,hypo_depth mag,backarc vs30,PGA PGV SA,Inter event Intra event Total,NZNSHM2022_ParkerEtAl2020SSlabSAN,
NZNSHM2022_ParkerEtAl2020SSlabSAS,NZNSHM2022_ParkerEtAl2020SSlabSAS,2022,Subduction IntraSlab,rrup,hypo_depth mag,backarc vs30,PGA PGV SA,Inter event Intra event Total,NZNSHM2022_ParkerEtAl2020SSlabSAS,
NZNSHM2022_ParkerEtAl2020SSlabTaiwanE,NZNSHM2022_ParkerEtAl2020SSlabTaiwanE,2022,Subduction IntraSlab,rrup,hypo_depth mag,backarc vs30,PGA PGV SA,Inter event Intra event Total,NZNSHM2022_ParkerEtAl2020SSlabTaiwanE,
NZNSHM2022_ParkerEtAl2020SSlabTaiwanW,NZNSHM2022_ParkerEtAl2020SSlabTaiwanW,2022,Subduction IntraSlab,rrup,hypo_depth mag,backarc vs30,PGA PGV SA,Inter event Intra event Total,NZNSHM2022_ParkerEtAl2020SSlabTaiwanW,
NathEtAl2012Lower,NathEtAl2012Lower,2012,Subduction Interface,rrup,mag,,PGA SA,Total,Na2012Lower,Implements GMPE of Nath et. al (2012) for intraplate margin seismicity in the Shillong Plateau of India at 25-45 km deph.
NathEtAl2012Upper,NathEtAl2012Upper,2012,Subduction Interface,rrup,mag,,PGA SA,Total,Na2012Upper,Implements GMPE of Nath et. al (2012) for intraplate margin seismicity in the Shillong Plateau of India above 25 km deph.
OceanicCan15Low,OceanicCan15Low,0,Active Shallow Crust,repi,mag rake,vs30,PGA PGV SA,Total,OceanicCan15Low,
OceanicCan15Mid,OceanicCan15Mid,0,Active Shallow Crust,repi,mag rake,vs30,PGA PGV SA,Total,OceanicCan15Mid,Implements the GMPE for oceanic sources
OceanicCan15Upp,OceanicCan15Upp,0,Active Shallow Crust,repi,mag rake,vs30,PGA PGV SA,Total,OceanicCan15Upp,
PankowPechmann2004,PankowPechmann2004,2004,Active Shallow Crust,rjb,mag,vs30,PGA PGV SA,Total,PP2004,"Implements GMPE developed by Kris L. Pankow and James C. Pechmann and published as ""The SEA99 Ground-Motion Predictive Relations for Extensional Tectonic Regimes: Revisions and a New Peak Ground Velocity Relation"" Bulletin of the Seismological Society of America, Vol. 94, No. 1, pp. 341–348, February 2004"
ParkerEtAl2020SInter,ParkerEtAl2020SInter,2020,Subduction Interface,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SInter,Implements Parker et al. (2020) for subduction interface.
ParkerEtAl2020SInterAlaska,ParkerEtAl2020SInterAlaska,2020,Subduction Interface,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SInterAlaska,
ParkerEtAl2020SInterAleutian,ParkerEtAl2020SInterAleutian,2020,Subduction Interface,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SInterAleutian,
ParkerEtAl2020SInterB,ParkerEtAl2020SInterB,2020,Subduction Interface,rrup,mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SInterB,For Cascadia and Japan where basins are defined (also require z2pt5).
ParkerEtAl2020SInterCAMN,ParkerEtAl2020SInterCAMN,2020,Subduction Interface,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SInterCAMN,
ParkerEtAl2020SInterCAMS,ParkerEtAl2020SInterCAMS,2020,Subduction Interface,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SInterCAMS,
ParkerEtAl2020SInterCascadia,ParkerEtAl2020SInterCascadia,2020,Subduction Interface,rrup,mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SInterCascadia,
ParkerEtAl2020SInterCascadiaOut,ParkerEtAl2020SInterCascadiaOut,2020,Subduction Interface,rrup,mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SInterCascadiaOut,
ParkerEtAl2020SInterCascadiaSeattle,ParkerEtAl2020SInterCascadiaSeattle,2020,Subduction Interface,rrup,mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SInterCascadiaSeattle,
ParkerEtAl2020SInterJapanPac,ParkerEtAl2020SInterJapanPac,2020,Subduction Interface,rrup,mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SInterJapanPac,
ParkerEtAl2020SInterJapanPhi,ParkerEtAl2020SInterJapanPhi,2020,Subduction Interface,rrup,mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SInterJapanPhi,
ParkerEtAl2020SInterSAN,ParkerEtAl2020SInterSAN,2020,Subduction Interface,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SInterSAN,
ParkerEtAl2020SInterSAS,ParkerEtAl2020SInterSAS,2020,Subduction Interface,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SInterSAS,
ParkerEtAl2020SInterTaiwanE,ParkerEtAl2020SInterTaiwanE,2020,Subduction Interface,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SInterTaiwanE,
ParkerEtAl2020SInterTaiwanW,ParkerEtAl2020SInterTaiwanW,2020,Subduction Interface,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SInterTaiwanW,
ParkerEtAl2020SSlab,ParkerEtAl2020SSlab,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SSlab,Modifications for subduction slab.
ParkerEtAl2020SSlabAlaska,ParkerEtAl2020SSlabAlaska,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabAlaska,
ParkerEtAl2020SSlabAleutian,ParkerEtAl2020SSlabAleutian,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabAleutian,
ParkerEtAl2020SSlabB,ParkerEtAl2020SSlabB,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabB,For Cascadia and Japan where basins are defined (also require z2pt5).
